_r,_RAJ2000,_DEJ2000,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP
2.9212,132.8008161614022,11.84253008617,1.0792,-10.927,-2.769,14.672547,15.066318,14.100272,0.966045,0.39377,0.572275
2.9748,132.7840032546277,11.829064909776,1.095,-11.052,-2.948,15.321573,15.745658,14.732347,1.01331,0.424085,0.589226
2.9933,132.8151579862171,11.8489514284406,1.1324,-10.862,-2.686,12.771166,13.198056,12.183865,1.014192,0.42689,0.587301
2.9982,132.8746076076168,11.788019619279,1.1672,-11.396,-3.299,9.234212,9.923115,8.435984,1.487131,0.688903,0.798228
3.0039,132.872941911499,11.7825328587482,0.0643,-3.342,-2.355,20.342909,21.173273,19.321386,1.851887,0.830364,1.021523
3.0258,132.7806586096702,11.7744235712876,1.1215,-11.103,-2.984,15.154757,15.570725,14.57526,0.995465,0.415969,0.579496
3.0368,132.8439381652602,11.847124913274,0.8811,-12.084,-1.438,16.21249,16.704727,15.323589,1.381138,0.492237,0.888901
3.0371,132.8366876232016,11.7506971612263,1.1755,-10.595,-3.711,12.946713,13.253227,12.478689,0.774538,0.306514,0.468024
3.042,132.7990789057067,11.756145464799,0.9783,-11.034,-2.407,10.008406,9.965356,10.06736,-0.102004,-0.04305,-0.058954
3.0502,132.844250962618,11.8472452529757,1.05,-11.762,-1.99,17.732815,,,,,
3.0679,132.8334900481346,11.8504721803988,1.112,-10.639,-2.916,14.146556,14.479649,13.653684,0.825965,0.333093,0.492872
3.0701,132.8426095126889,11.8482086383717,1.681,-11.255,-2.943,18.637798,19.737873,17.353762,2.384111,1.100075,1.284037
3.0709,132.8101752168468,11.7509461612228,1.1856,-10.804,-2.979,12.683977,12.943379,12.236511,0.706868,0.259402,0.447466
3.0916,132.8775186615456,11.7965137146156,,,,16.181334,16.106318,14.781261,1.325056,-0.075016,1.400072
3.0943,132.8775611873612,11.7964816894496,,,,15.924244,16.114868,14.780315,1.334553,0.190624,1.143928
3.0987,132.8538084615278,11.8433132979192,1.086,-10.818,-3.024,18.437265,19.632492,17.36901,2.263481,1.195227,1.068255
3.1024,132.7989553612522,11.755055681681,1.3445,-14.021,-0.705,16.939386,15.862641,15.396125,0.466517,-1.076745,1.543262
3.1069,132.8610127540516,11.7620473101388,1.1288,-10.181,-4.004,16.731655,17.397821,15.942239,1.455583,0.666166,0.789416
3.1136,132.8140590613734,11.8507977498615,0.7485,-3.444,-5.555,19.293442,19.510939,18.738453,0.772486,0.217497,0.554989
3.1185,132.7833498311406,11.8321900580486,1.2179,-10.848,-2.721,15.237194,15.704848,14.596461,1.108387,0.467654,0.640733
3.1231,132.8098040387582,11.7501502427887,1.2518,-11.525,-3.42,10.977456,11.191667,10.608952,0.582715,0.214211,0.368505
3.1417,132.8322521048061,11.8519015909484,-0.4379,-0.572,-5.2,20.170818,20.672321,19.770363,0.901958,0.501503,0.400455
3.1438,132.8762900956412,11.8151726326809,1.2854,-10.907,-2.98,17.091047,17.483303,15.865183,1.61812,0.392256,1.225864
3.1676,132.7974326837845,11.7546745675091,1.0241,-11.637,-4.302,20.41384,19.79864,19.765253,0.033386,-0.6152,0.648586
3.1725,132.8393556812251,11.7490211791697,1.0913,-10.732,-1.829,19.825302,21.096216,18.601025,2.495192,1.270914,1.224277
3.1755,132.7849414564899,11.8355082826886,1.1469,-11.104,-3.118,13.431571,13.725635,12.978494,0.747141,0.294064,0.453077
3.1894,132.8767592075191,11.7837777074933,1.1085,-11.148,-3.048,17.182396,17.998962,16.298824,1.700138,0.816566,0.883572
3.1958,132.8768918345745,11.816201279475,1.3622,-11.119,-2.973,11.806252,12.311217,11.143867,1.167351,0.504966,0.662385
3.2054,132.8773683851481,11.815225123947,1.1808,-10.757,-3.121,13.156977,13.452969,12.663959,0.78901,0.295992,0.493018
3.2229,132.8778660141588,11.8145917381364,1.1852,-10.988,-2.884,15.566227,15.89842,14.831392,1.067028,0.332193,0.734835
3.2411,132.772179113505,11.7852100841566,3.8249,-47.032,-31.02,18.092478,19.694075,16.927317,2.766758,1.601597,1.165161
3.2597,132.8165974047914,11.8537030485337,,,,20.683521,21.232271,19.61416,1.618111,0.54875,1.069361
3.2774,132.8664476441329,11.8366440927718,1.1679,-11.039,-2.972,14.234067,14.571932,13.729442,0.84249,0.337865,0.504625
3.2959,132.7836396433216,11.7629402849325,1.0058,-10.673,-2.731,17.485126,18.39639,16.567055,1.829336,0.911264,0.918072
3.3077,132.8773998660449,11.8203426507558,1.1735,-10.871,-3.06,12.542159,12.846102,12.078667,0.767435,0.303943,0.463492
3.3163,132.8282188332432,11.8551962315402,1.1588,-11.026,-2.627,12.798285,13.232905,12.202791,1.030114,0.434621,0.595493
3.3233,132.7990164443059,11.849205182682,0.7834,-0.463,-0.537,19.784933,20.06188,19.439474,0.622406,0.276947,0.345459
3.3288,132.7867377438338,11.8409031098599,1.3303,-10.654,-3.109,17.367966,18.225878,16.478024,1.747854,0.857912,0.889942
3.3364,132.8749240532062,11.7733980917474,1.0994,-11.021,-3.114,17.125044,17.909771,16.26468,1.64509,0.784727,0.860363
3.3832,132.848250334121,11.7484018664843,0.5581,-11.227,-2.851,20.205158,21.221779,19.083403,2.138376,1.016621,1.121756
3.3899,132.8820550914619,11.7911972396181,1.0278,-11.54,-13.475,19.858387,20.89666,18.682266,2.214394,1.038273,1.176121
3.3943,132.8502363163643,11.7491554203032,2.5393,-2.907,-12.077,20.27807,20.945616,19.136522,1.809093,0.667545,1.141548
3.402,132.7725940229983,11.8241756468019,0.1259,0.102,-3.873,19.25945,19.512373,18.829231,0.683142,0.252922,0.43022
3.4136,132.7956534353988,11.7509052915081,2.2999,-2.63,-1.244,20.621529,21.14503,19.686903,1.458126,0.5235,0.934626
3.4199,132.7931345735751,11.7523338122405,0.5711,-4.965,-5.321,18.056795,18.620298,17.407606,1.212692,0.563503,0.649189
